indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2017-1-01,patagonia,total,467523,
2017-10-01,patagonia,no residentes,37842,
2017-10-01,patagonia,residentes,89705,
2017-10-01,patagonia,total,127547,
2017-11-01,patagonia,no residentes,75520,
2017-11-01,patagonia,residentes,78909,
2017-11-01,patagonia,total,154429,
2017-12-01,patagonia,no residentes,83082,
2017-12-01,patagonia,residentes,123617,
2017-12-01,patagonia,total,206699,
2017-2-01,patagonia,no residentes,81496,
2017-2-01,patagonia,residentes,256808,
2017-2-01,patagonia,total,338304,
2017-3-01,patagonia,no residentes,56693,
2017-3-01,patagonia,residentes,127823,
2017-3-01,patagonia,total,184516,
2017-4-01,patagonia,no residentes,31634,
2017-4-01,patagonia,residentes,78370,
2017-4-01,patagonia,total,110004,
2017-5-01,patagonia,no residentes,10978,
2017-5-01,patagonia,residentes,33709,
2017-5-01,patagonia,total,44687,
2017-6-01,patagonia,no residentes,8862,
2017-6-01,patagonia,residentes,26906,
2017-6-01,patagonia,total,35768,
2017-7-01,patagonia,no residentes,16403,
2017-7-01,patagonia,residentes,61844,
2017-7-01,patagonia,total,78247,
2017-8-01,patagonia,no residentes,14636,
2017-8-01,patagonia,residentes,53361,
2017-8-01,patagonia,total,67997,
2017-9-01,patagonia,no residentes,20257,
2017-9-01,patagonia,residentes,76698,
2017-9-01,patagonia,total,96955,
2018-1-01,patagonia,no residentes,103181,
2018-1-01,patagonia,residentes,337380,
2018-1-01,patagonia,total,440561,
2018-10-01,patagonia,no residentes,48773,
2018-10-01,patagonia,residentes,102958,
2018-10-01,patagonia,total,151731,
2018-11-01,patagonia,no residentes,92106,
2018-11-01,patagonia,residentes,89209,
2018-11-01,patagonia,total,181315,
2018-12-01,patagonia,no residentes,103055,
2018-12-01,patagonia,residentes,119127,
2018-12-01,patagonia,total,222182,
2018-2-01,patagonia,no residentes,86948,
2018-2-01,patagonia,residentes,230375,
2018-2-01,patagonia,total,317323,
2018-3-01,patagonia,no residentes,67454,
2018-3-01,patagonia,residentes,138147,
2018-3-01,patagonia,total,205601,
2018-4-01,patagonia,no residentes,29037,
2018-4-01,patagonia,residentes,87109,
2018-4-01,patagonia,total,116146,
2018-5-01,patagonia,no residentes,13145,
2018-5-01,patagonia,residentes,42971,
2018-5-01,patagonia,total,56116,
2018-6-01,patagonia,no residentes,7048,
2018-6-01,patagonia,residentes,31630,
2018-6-01,patagonia,total,38678,
2018-7-01,patagonia,no residentes,16277,
2018-7-01,patagonia,residentes,74115,
2018-7-01,patagonia,total,90392,
2018-8-01,patagonia,no residentes,18004,
2018-8-01,patagonia,residentes,61929,
2018-8-01,patagonia,total,79933,
2018-9-01,patagonia,no residentes,24591,
2018-9-01,patagonia,residentes,72220,
2018-9-01,patagonia,total,96811,
2019-1-01,patagonia,no residentes,127186,
2019-1-01,patagonia,residentes,267686,
2019-1-01,patagonia,total,394872,
2019-10-01,patagonia,no residentes,58208,
2019-10-01,patagonia,residentes,114129,
2019-10-01,patagonia,total,172337,
2019-11-01,patagonia,no residentes,106529,
2019-11-01,patagonia,residentes,114687,
2019-11-01,patagonia,total,221216,
2019-12-01,patagonia,no residentes,118670,
2019-12-01,patagonia,residentes,158734,
2019-12-01,patagonia,total,277404,
2019-2-01,patagonia,no residentes,110476,
2019-2-01,patagonia,residentes,197102,
2019-2-01,patagonia,total,307578,
2019-3-01,patagonia,no residentes,83570,
2019-3-01,patagonia,residentes,152137,
2019-3-01,patagonia,total,235707,
2019-4-01,patagonia,no residentes,46125,
2019-4-01,patagonia,residentes,95036,
2019-4-01,patagonia,total,141161,
2019-5-01,patagonia,no residentes,15565,
2019-5-01,patagonia,residentes,43785,
2019-5-01,patagonia,total,59350,
